,Unnamed: 0,City,State,median_income,murders_2016_pro10e5,assaults_2016_pro10e5
63,65,Ventura,California,69933,7.3,179.6
64,66,Inglewood,California,51620,14.3,314.1
65,67,Pompano Beach,Florida,42736,6.4,459.9
66,68,West Palm Beach,Florida,51217,9.3,499.7
67,69,Everett,Washington,52626,0.9,254.2
68,70,Richmond,California,61814,18.9,506.9
69,71,Clovis,California,65976,1.9,137.9
70,72,Waterbury,Connecticut,38752,9.2,271.9
71,73,Broken Arrow,Oklahoma,70221,2.8,84.2
72,74,Lakeland,Florida,47311,3.8,132.4
73,75,West Covina,California,74076,3.7,122.1
74,76,Boulder,Colorado,70158,0.0,161.2
75,77,Daly City,California,89843,0.9,121.7
76,78,Santa Maria,California,55775,8.5,267.4
77,79,Hillsboro,Oregon,75466,0.0,148.4
78,80,Norwalk,California,63143,6.5,237.3
79,81,Lewisville,Texas,58361,0.0,110.6
80,82,Tyler,Texas,47811,4.8,241.8
81,83,League City,Texas,104736,4.9,19.7
82,84,Burbank,California,72618,0.0,128.6
83,85,San Mateo,California,114444,1.0,170.8
84,86,Wichita Falls,Texas,42459,8.6,180.5
85,87,El Cajon,California,45577,1.0,193.3
86,88,Davenport,Iowa,45964,6.8,484.9
87,89,South Bend,Indiana,36711,13.8,556.0
88,90,Las Cruces,New Mexico,39201,4.9,150.5
89,91,Vista,California,61433,2.0,224.8
90,92,Renton,Washington,71951,1.1,154.8
91,93,Sparks,Nevada,57444,3.1,325.9
