,Unnamed: 0,City,State,Population_2017,Area,Pop_density,Things_to_do,State_code,Price_1br
181,190,Olathe,Kansas,"137,472",157.7,859,23,KS,938
182,191,Thornton,Colorado,"136,978",92.5,"1,478",2,CO,1464
183,192,Waco,Texas,"136,436",230.5,580,84,TX,625
184,193,Murfreesboro,Tennessee,"136,372",144.8,910,53,TN,882
185,194,Denton,Texas,"136,268",241.9,553,39,TX,858
186,196,Midland,Texas,"136,089",192.7,698,26,TX,1199
187,197,Carrollton,Texas,"135,710",94.0,"1,419",18,TX,1102
188,198,Roseville,California,"135,329",111.4,"1,191",24,CA,1299
189,199,Warren,Michigan,"135,022",89.1,"1,517",19,MI,778
190,200,Charleston,South Carolina,"134,875",282.3,476,256,SC,960
191,201,Hampton,Virginia,"134,669",133.4,"1,015",36,VA,870
